idx,op,name,ne0,ne1,ne2,ne3,us
1484,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
1485,MUL_MAT,node_1485,144,144,24,36,530
1486,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,0
1487,REPEAT,node_1487,144,144,24,36,1621
1488,GET_ROWS,node_1488,24,20736,1,1,77
1489,RESHAPE, (reshaped),24,144,144,1,0
1490,PERMUTE, (reshaped) (permuted),144,144,24,1,0
1491,CPY, (reshaped) (permuted) (copy),144,144,24,1,34
1492,ADD,node_1492,144,144,24,36,278
1493,SOFT_MAX,node_1493,144,144,24,36,1257
1494,MUL_MAT,node_1494,32,144,24,36,335
1495,PERMUTE, (permuted),32,24,144,36,1
1496,CONT, (permuted) (cont),32,24,144,36,198
1497,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,1
1498,MUL_MAT,node_1498,768,144,36,1,356
1499,CPY,bb.layers.2.blocks.12.attn.proj.bias (copy),768,1,1,1,7
1500,ADD,bb.layers.2.blocks.12.attn,768,144,36,1,103
1501,RESHAPE,bb.layers.2.blocks.12.attn (reshaped),9216,12,6,6,1
1502,PERMUTE,bb.layers.2.blocks.12.attn (reshaped) (permuted),9216,6,12,6,1
1503,CONT,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont),9216,6,12,6,106
1504,RESHAPE,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,0
1505,RESHAPE,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,0
1506,VIEW,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont) (reshap,768,64,64,1,1
1507,CONT,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont) (reshap,768,64,64,1,82
1508,RESHAPE,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont) (reshap,768,4096,1,1,0
1509,ADD,bb.layers.2.blocks.12.attn (reshaped) (permuted) (cont) (reshap,768,4096,1,1,119
1510,NORM,node_1510,768,4096,1,1,105
1511,CPY,bb.layers.2.blocks.12.norm2.weight (copy),768,1,1,1,6
1512,MUL,node_1512,768,4096,1,1,83
1513,CPY,bb.layers.2.blocks.12.norm2.bias (copy),768,1,1,1,6
1514,ADD,bb.layers.2.blocks.12.norm2,768,4096,1,1,81
1515,MUL_MAT,node_1515,3072,4096,1,1,769
1516,CPY,bb.layers.2.blocks.12.mlp.fc1.bias (copy),3072,1,1,1,6
1517,ADD,node_1517,3072,4096,1,1,307
1518,UNARY, (view),3072,4096,1,1,311
1519,MUL_MAT,node_1519,768,4096,1,1,742
1520,CPY,bb.layers.2.blocks.12.mlp.fc2.bias (copy),768,1,1,1,7
1521,ADD,bb.layers.2.blocks.12.mlp,768,4096,1,1,81
1522,ADD,bb.layers.2.blocks.12,768,4096,1,1,120
1523,NORM,node_1523,768,4096,1,1,102
1524,CPY,bb.layers.2.blocks.13.norm1.weight (copy),768,1,1,1,7
1525,MUL,node_1525,768,4096,1,1,82
1526,CPY,bb.layers.2.blocks.13.norm1.bias (copy),768,1,1,1,6
1527,ADD,bb.layers.2.blocks.13.norm1,768,4096,1,1,81
1528,RESHAPE,bb.layers.2.blocks.13.norm1 (reshaped),768,64,64,1,0
1529,PAD,node_1529,768,72,72,1,95
1530,ROLL,node_1530,768,72,72,1,198
1531,RESHAPE, (reshaped),9216,6,12,6,1
1532,PERMUTE, (reshaped) (permuted),9216,12,6,6,1
1533,CONT, (reshaped) (permuted) (cont),9216,12,6,6,105
1534,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,0
1535,MUL_MAT,node_1535,2304,144,36,1,954
1536,CPY,bb.layers.2.blocks.13.attn.qkv.bias (copy),2304,1,1,1,7
1537,ADD,node_1537,2304,144,36,1,293
1538,RESHAPE, (reshaped),32,24,3,5184,1
1539,PERMUTE, (reshaped) (permuted),32,24,5184,3,0
1540,CONT, (reshaped) (permuted) (cont),32,24,5184,3,569
1541,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1542,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
1543,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,0
1544,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,103
1545,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1546,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1547,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,0
1548,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,0
1549,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
1550,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,0
1551,MUL_MAT,node_1551,144,144,24,36,535
1552,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,1
1553,REPEAT,node_1553,144,144,24,36,1586
1554,GET_ROWS,node_1554,24,20736,1,1,77
1555,RESHAPE, (reshaped),24,144,144,1,1
1556,PERMUTE, (reshaped) (permuted),144,144,24,1,1
1557,CPY, (reshaped) (permuted) (copy),144,144,24,1,33
1558,ADD,node_1558,144,144,24,36,276
1559,SOFT_MAX,node_1559,144,144,24,36,1257
1560,MUL_MAT,node_1560,32,144,24,36,334
1561,PERMUTE, (permuted),32,24,144,36,0
1562,CONT, (permuted) (cont),32,24,144,36,196
1563,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,0
1564,MUL_MAT,node_1564,768,144,36,1,354
1565,CPY,bb.layers.2.blocks.13.attn.proj.bias (copy),768,1,1,1,7
1566,ADD,bb.layers.2.blocks.13.attn,768,144,36,1,102
1567,RESHAPE,bb.layers.2.blocks.13.attn (reshaped),9216,12,6,6,1
1568,PERMUTE,bb.layers.2.blocks.13.attn (reshaped) (permuted),9216,6,12,6,1
1569,CONT,bb.layers.2.blocks.13.attn (reshaped) (permuted) (cont),9216,6,12,6,106
1570,RESHAPE,bb.layers.2.blocks.13.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,1
1571,ROLL,node_1571,768,72,72,1,198
1572,RESHAPE, (reshaped),768,72,72,1,1
1573,VIEW, (reshaped) (view),768,64,64,1,1
1574,CONT, (reshaped) (view) (cont),768,64,64,1,83
1575,RESHAPE, (reshaped) (view) (cont) (reshaped),768,4096,1,1,0
1576,ADD, (reshaped) (view) (cont) (reshaped) (view),768,4096,1,1,120
1577,NORM,node_1577,768,4096,1,1,107
1578,CPY,bb.layers.2.blocks.13.norm2.weight (copy),768,1,1,1,6
1579,MUL,node_1579,768,4096,1,1,84
1580,CPY,bb.layers.2.blocks.13.norm2.bias (copy),768,1,1,1,6
1581,ADD,bb.layers.2.blocks.13.norm2,768,4096,1,1,81
1582,MUL_MAT,node_1582,3072,4096,1,1,766
1583,CPY,bb.layers.2.blocks.13.mlp.fc1.bias (copy),3072,1,1,1,7
1584,ADD,node_1584,3072,4096,1,1,346
1585,UNARY, (view),3072,4096,1,1,310
1586,MUL_MAT,node_1586,768,4096,1,1,743
1587,CPY,bb.layers.2.blocks.13.mlp.fc2.bias (copy),768,1,1,1,7
1588,ADD,bb.layers.2.blocks.13.mlp,768,4096,1,1,82
1589,ADD,bb.layers.2.blocks.13,768,4096,1,1,120
1590,NORM,node_1590,768,4096,1,1,105
