idx,op,name,ne0,ne1,ne2,ne3,us
638,CONT, (reshaped) (permuted) (cont),9216,12,6,6,517
639,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,1
640,MUL_MAT,node_640,2304,144,36,1,37533
641,ADD,node_641,2304,144,36,1,2524
642,RESHAPE, (reshaped),32,24,3,5184,1
643,PERMUTE, (reshaped) (permuted),32,24,5184,3,0
644,CONT, (reshaped) (permuted) (cont),32,24,5184,3,6060
645,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,2
646,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
647,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,0
648,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,2134
649,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
650,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
651,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
652,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,0
653,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
654,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
655,MUL_MAT,node_655,144,144,24,36,12961
656,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,3
657,REPEAT,node_657,144,144,24,36,2559
658,GET_ROWS,node_658,24,20736,1,1,237
659,RESHAPE, (reshaped),24,144,144,1,1
660,PERMUTE, (reshaped) (permuted),144,144,24,1,0
661,CPY, (reshaped) (permuted) (copy),144,144,24,1,187
662,ADD,node_662,144,144,24,36,6465
663,SOFT_MAX,node_663,144,144,24,36,9249
664,MUL_MAT,node_664,32,144,24,36,8276
665,PERMUTE, (permuted),32,24,144,36,3
666,CONT, (permuted) (cont),32,24,144,36,1361
667,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,2
668,MUL_MAT,node_668,768,144,36,1,13166
669,ADD,bb.layers.2.blocks.1.attn,768,144,36,1,212
670,RESHAPE,bb.layers.2.blocks.1.attn (reshaped),9216,12,6,6,1
671,PERMUTE,bb.layers.2.blocks.1.attn (reshaped) (permuted),9216,6,12,6,1
672,CONT,bb.layers.2.blocks.1.attn (reshaped) (permuted) (cont),9216,6,12,6,798
673,RESHAPE,bb.layers.2.blocks.1.attn (reshaped) (permuted) (cont) (reshape,768,72,72,1,0
674,ROLL,node_674,768,72,72,1,636
675,RESHAPE, (reshaped),768,72,72,1,0
676,VIEW, (reshaped) (view),768,64,64,1,0
677,CONT, (reshaped) (view) (cont),768,64,64,1,320
678,RESHAPE, (reshaped) (view) (cont) (reshaped),768,4096,1,1,1
679,ADD, (reshaped) (view) (cont) (reshaped) (view),768,4096,1,1,574
680,NORM,node_680,768,4096,1,1,743
681,MUL,node_681,768,4096,1,1,261
682,ADD,bb.layers.2.blocks.1.norm2,768,4096,1,1,135
683,MUL_MAT,node_683,3072,4096,1,1,39546
684,ADD,node_684,3072,4096,1,1,2858
685,UNARY, (view),3072,4096,1,1,5296
686,MUL_MAT,node_686,768,4096,1,1,51367
687,ADD,bb.layers.2.blocks.1.mlp,768,4096,1,1,434
688,ADD,bb.layers.2.blocks.1,768,4096,1,1,1169
689,NORM,node_689,768,4096,1,1,783
690,MUL,node_690,768,4096,1,1,112
691,ADD,bb.layers.2.blocks.2.norm1,768,4096,1,1,53
692,RESHAPE,bb.layers.2.blocks.2.norm1 (reshaped),768,64,64,1,1
693,PAD,node_693,768,72,72,1,1984
694,RESHAPE, (reshaped),9216,6,12,6,1
695,PERMUTE, (reshaped) (permuted),9216,12,6,6,0
696,CONT, (reshaped) (permuted) (cont),9216,12,6,6,1330
697,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,2
698,MUL_MAT,node_698,2304,144,36,1,37742
699,ADD,node_699,2304,144,36,1,2472
700,RESHAPE, (reshaped),32,24,3,5184,2
701,PERMUTE, (reshaped) (permuted),32,24,5184,3,0
702,CONT, (reshaped) (permuted) (cont),32,24,5184,3,6078
703,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,3
704,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
705,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,1
706,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,2303
707,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
708,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
709,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,0
710,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
711,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
712,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
713,MUL_MAT,node_713,144,144,24,36,12953
714,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,3
715,REPEAT,node_715,144,144,24,36,3081
716,GET_ROWS,node_716,24,20736,1,1,243
717,RESHAPE, (reshaped),24,144,144,1,1
718,PERMUTE, (reshaped) (permuted),144,144,24,1,1
